Criterion;Value;Weight
Element name;chapter;1
File substring;<chapter;1
Element name;abstract;1
File substring;<abstract;1
Element name;section;1
File substring;<section;1
Element name;bibliography;1
File substring;<bibliography;1
Element name;footnote;1
File substring;<footnote;1
Element name;literallayout;1
File substring;<literallayout;1
Element name;editor;1
File substring;<editor;1
Element name;bibliosource;1
File substring;<bibliosource;1
Element name;acronym;1
File substring;<acronym;1
Element name;footnoteref;1
File substring;<footnoteref;1
Element name;sect1;1
File substring;<sect1;1
Element name;sect2;1
File substring;<sect2;1
Element name;sect3;1
File substring;<sect3;1
Element name;sect4;1
File substring;<sect4;1
Element name;sect5;1
File substring;<sect5;1
Element name;glossary;1
File substring;<glossary;1
Element name;glosslist;1
File substring;<glosslist;1
