Element name;XSLT;Number of rate
value-of;1.0;100500
text;1.0;74029
apply-templates;1.0;61755
when;1.0;60017
template;1.0;59280
with-param;1.0;48814
if;1.0;43182
call-template;1.0;42809
attribute;1.0;39846
variable;1.0;35906
choose;1.0;26843
for-each;1.0;26361
param;1.0;25205
otherwise;1.0;23962
copy-of;1.0;8364
element;1.0;7784
output-character;2.0;6678
stylesheet;1.0;5447
output;1.0;3565
message;1.0;2170
attribute-set;1.0;2106
include;1.0;1979
number;1.0;1838
sort;1.0;1825
copy;1.0;1476
import;1.0;1087
comment;1.0;895
key;1.0;555
strip-space;1.0;357
function;2.0;342
apply-imports;1.0;215
transform;1.0;188
eval;;183
processing-instruction;1.0;172
result-document;2.0;150
sequence;2.0;131
preserve-space;1.0;98
character-map;2.0;89
decimal-format;1.0;80
for-each-group;2.0;79
namespace;2.0;52
namespace-alias;1.0;49
matching-substring;2.0;40
analyze-string;2.0;40
document;2.0;38
next-match;2.0;37
script;;13
node-name;;13
non-matching-substring;2.0;12
entity-ref;;10
fallback;1.0;6
loop;;3
import-schema;2.0;3
perform-sort;2.0;1
elsif;;1
else;;1
;;
