Maximal fan-out;Number of files
0;111
1;67
2;283
3;657
4;619
5;435
6;371
7;261
8;252
9;228
10;252
11;125
12;149
13;148
14;111
15;102
16;114
17;90
18;74
19;62
20;64
21;61
22;43
23;55
24;67
25;40
26;58
27;80
28;51
29;37
30;13
31;21
32;23
33;16
34;18
35;12
36;15
37;14
38;19
39;27
40;15
41;9
42;10
43;20
44;9
45;10
46;2
47;4
48;6
49;8
50;19
51;12
52;11
53;14
54;12
55;4
56;4
57;7
58;3
59;9
60;5
61;4
62;12
63;8
64;7
65;4
66;2
67;6
68;4
69;1
70;2
71;8
72;13
73;10
74;2
75;1
76;12
77;2
78;3
79;2
80;5
83;1
84;4
85;1
86;2
87;1
89;1
90;4
91;2
93;2
96;4
97;2
98;2
99;3
101;1
103;4
104;1
105;1
107;1
108;1
110;6
112;6
113;2
114;2
115;2
117;3
119;1
120;7
121;2
122;1
123;1
124;3
125;1
129;3
132;2
133;2
134;8
135;1
136;1
137;2
138;5
139;4
140;5
141;4
143;1
144;2
146;3
150;2
153;1
154;5
155;2
157;1
159;1
160;1
161;1
165;1
166;4
169;3
172;1
173;1
174;1
175;2
176;2
178;1
179;1
180;2
181;1
182;1
183;1
184;4
185;3
186;8
187;2
190;2
193;1
196;2
200;1
202;1
204;1
205;2
219;1
223;1
233;2
252;1
256;1
260;1
261;1
275;2
276;3
281;1
290;1
303;2
308;2
309;1
312;2
325;1
326;1
343;1
391;1
397;2
407;2
451;1
515;2
550;2
583;1
615;1
779;1
813;1
1821;2
6652;1
